id,title,date,url
15018,Эра сверхбыстрых вычислений: в ИТМО появился Институт фотоники,2026-09-15T16:40:38,https://news.itmo.ru/ru/science/photonics/news/15018/
15003,Олимпиадный год: итоги самой масштабной приемной кампании в ИТМО,2026-09-01T19:18:10,https://news.itmo.ru/ru/education/official/news/15003/
15001,ITMO CONF 2026: как идеи проходят путь от лаборатории к рынку,2026-08-31T18:44:11,https://news.itmo.ru/ru/education/trend/news/15001/
14985,Всем по киберпышке! ИТМО и Яндекс Образование запускают передвижной научный мини-фестиваль по городам России,2026-08-18T15:57:07,https://news.itmo.ru/ru/education/cooperation/news/14985/
14984,Российские школьники взяли четыре медали на Международной олимпиаде по информатике под руководством декана ИТМО,2026-08-17T16:39:54,https://news.itmo.ru/ru/university_live/achievements/news/14984/
14973,"В ИТМО завершили прием на бюджет бакалавриата: средний балл вырос, число первокурсников — тоже",2026-08-07T14:20:30,https://news.itmo.ru/ru/education/trend/news/14973/
14967,Студенты ИТМО заняли пять призовых мест на международной математической олимпиаде IMC,2026-08-05T16:14:12,https://news.itmo.ru/ru/university_live/achievements/news/14967/
14944,"За дипломом, на сапы и в научный бар. Каким был ITMO Family Day — один день длиною в университет",2026-07-20T16:25:07,https://news.itmo.ru/ru/university_live/leisure/news/14944/
14916,ИТМО получит 196 миллионов рублей на развитие образовательных программ в сфере ИТ,2026-06-30T16:52:15,https://news.itmo.ru/ru/education/official/news/14916/
14901,"Для тех, кого не заменит ИИ: в ИТМО стартовал прием документов на поступление",2026-06-20T12:16:31,https://news.itmo.ru/ru/education/official/news/14901/
14882,"Готовим выпускников, которых не заменит ИИ: ИТМО запустил новую приемную кампанию для абитуриентов",2026-06-08T12:57:20,https://news.itmo.ru/ru/education/trend/news/14882/
14881,"«Джипитировать», но не друг с другом: как ИИ изменил образование к 2026 году",2026-06-05T17:57:20,https://news.itmo.ru/ru/education/trend/news/14881/
13310,Как получить образовательный кредит с господдержкой и не платить сотни тысяч в год за обучение,2026-06-04T13:11:48,https://news.itmo.ru/ru/education/trend/news/13310/
14872,ИТМО снова в топ-3 российских вузов по подготовке специалистов по ИИ,2026-06-03T16:21:12,https://news.itmo.ru/ru/university_live/ratings/news/14872/
14850,В России откроют центр компетенций для усовершенствования дата-центров,2026-05-20T18:15:41,https://news.itmo.ru/ru/science/photonics/news/14850/
14258,"Яндекс, Сбер, VK и не только: магистратуры ИТМО, которые поддерживают крупные компании",2026-04-14T16:27:53,https://news.itmo.ru/ru/education/trend/news/14258/
14779,Миллион уже на первом курсе: ИТМО повысил стипендии для победителей олимпиад и стобалльников,2026-03-26T19:28:27,https://news.itmo.ru/ru/education/students/news/14779/
14727,Студент ИТМО Петр Гуменник вошел в топ-6 сильнейших фигуристов на Олимпиаде в Милане,2026-02-16T13:49:10,https://news.itmo.ru/ru/university_live/achievements/news/14727/
14716,"Во-первых, это красиво: 7 впечатляющих экспериментов из лабораторий ИТМО",2026-02-06T13:37:07,https://news.itmo.ru/ru/university_live/achievements/news/14716/
14692,Новый порядок приема в вузы: что изменится и как поступить в бакалавриат ИТМО в 2026-м,2026-01-20T17:33:34,https://news.itmo.ru/ru/education/trend/news/14692/
14670,Календарь ИТМО-2025: вспоминаем самое главное в уходящем году,2025-12-29T15:00:25,https://news.itmo.ru/ru/university_live/achievements/news/14670/
14646,Студенты ИТМО выиграли золото финала Северной Евразии ICPC,2025-12-18T12:07:19,https://news.itmo.ru/ru/university_live/achievements/news/14646/
14601,ИТМО получит 400 млн рублей в рамках программы «Приоритет 2030»,2025-11-24T14:28:36,https://news.itmo.ru/ru/education/official/news/14601/
14591,"Дарья Козлова: «Региональные вузы должны понимать, в чем их точка притяжения»",2025-11-17T16:59:58,https://news.itmo.ru/ru/education/trend/news/14591/
14590,Переиграть человека: робот-саксофонист принес ИТМО победу на RoboCup Asia Pacific 2025,2025-11-17T11:02:11,https://news.itmo.ru/ru/university_live/achievements/news/14590/
14532,В Технологическую долину на территории ИТМО Хайпарка инвестируют 5 млрд рублей,2025-10-03T12:37:51,https://news.itmo.ru/ru/startups_and_business/innovations/news/14532/
14511,В ИТМО открылся Институт искусственного интеллекта,2025-09-18T11:28:01,https://news.itmo.ru/ru/education/cooperation/news/14511/
14505,"Toxi$, мемные лекции и фестиваль клубов: как прошла «Вселенная ИТМО» для первокурсников",2025-09-12T13:28:08,https://news.itmo.ru/ru/university_live/leisure/news/14505/
14502,Лучший двухколесный нетворкинг: как прошла 22-я велопрогулка с ректором ИТМО,2025-09-10T17:31:50,https://news.itmo.ru/ru/university_live/leisure/news/14502/
14484,"В ИТМО разработали недорогую универсальную модель, которая помогает отслеживать опасные действия на производстве",2025-09-08T13:46:43,https://news.itmo.ru/ru/science/it/news/14484/
14486,Как развивать системное мышление в эпоху нейросетей,2025-09-05T15:55:59,https://news.itmo.ru/ru/education/students/news/14486/
14483,В ИТМО разработали платформу для проведения генетических исследований без программистов,2025-09-04T17:30:00,https://news.itmo.ru/ru/science/it/news/14483/
14481,Рекорды и ключевые цифры: главные итоги приемной кампании ИТМО 2025,2025-09-03T15:57:47,https://news.itmo.ru/ru/education/official/news/14481/
14475,"ITMO CONF 2025: синтез науки, технологий и людей",2025-08-29T17:24:36,https://news.itmo.ru/ru/education/trend/news/14475/
14473,"ИИ-ассистенты, вайб-кодинг и ролевая модель в вузах: главное с пресс-конференции Яндекс Образования",2025-08-28T15:47:25,https://news.itmo.ru/ru/education/cooperation/news/14473/
14460,Команда ИТМО взяла «золото» международных соревнований по робототехнике RobotChallenge 2025,2025-08-19T16:00:24,https://news.itmo.ru/ru/university_live/achievements/news/14460/
14442,В ИТМО подвели первые итоги приемной кампании в бакалавриат,2025-08-06T19:51:17,https://news.itmo.ru/ru/education/official/news/14442/
14438,ИТМО — в топ-3 вузов по подготовке специалистов в области ИИ,2025-08-05T16:13:12,https://news.itmo.ru/ru/university_live/ratings/news/14438/
14434,ИТМО ― самый популярный петербургский вуз у победителей олимпиад,2025-08-05T15:57:23,https://news.itmo.ru/ru/education/trend/news/14434/
14432,В ИТМО более 300 руководителей образовательных программ и преподавателей из 22 вузов повысили квалификацию в сфере ИИ,2025-08-01T14:29:16,https://news.itmo.ru/ru/education/cooperation/news/14432/
14415,"Кикер с деканами, призы из рук роборуки, «Очумелый хаб» и много дипломов — это был ITMO Family Day",2025-07-23T15:00:12,https://news.itmo.ru/ru/university_live/leisure/news/14415/
14418,ИТМО — в топ-3 рекомендаций для поступления по версии Changellenge,2025-07-22T17:12:52,https://news.itmo.ru/ru/university_live/ratings/news/14418/
14390,"Самые неклассические выходные: рассказываем, почему стоит посетить летний фестиваль от Университета ИТМО",2025-07-07T10:29:42,https://news.itmo.ru/ru/university_live/leisure/news/14390/
14378,ИТМО разработает новую российскую систему подготовки специалистов по ИИ,2025-06-27T12:23:59,https://news.itmo.ru/ru/education/cooperation/news/14378/
14366,Все складывается в ИТМО: в Первом неклассическом стартовала приемная кампания,2025-06-20T12:24:08,https://news.itmo.ru/ru/education/official/news/14366/
14363,Ученый ИТМО ― победитель рейтинга Forbes Russia «30 до 30»,2025-06-19T15:20:30,https://news.itmo.ru/ru/university_live/achievements/news/14363/
